model_name,precision,architecture,size_category,parameters,latency_ms,throughput_sps,peak_memory_mb,model_size_mb,actual_quantization_method,simulated_accuracy,stability_score,speedup,memory_reduction_pct
vit-huge-patch14-2020,fp32,ViT-Huge-2020,foundation_transformer,632000000.0,25.59,39.08,2420.56,2412.43,fp32_baseline,0.85,0.95,1.0,0.0
vit-huge-patch14-2020,fp16,ViT-Huge-2020,foundation_transformer,632000000.0,10.24,97.64,1214.34,1206.22,fp16_half_precision,0.85,0.95,2.4990234375,49.832270218461844
vit-huge-patch14-2020,int8_bitsandbytes,ViT-Huge-2020,foundation_transformer,632000000.0,56.14,17.81,615.82,606.22,bitsandbytes_int8_success,0.85,0.95,0.4558247239045244,74.55877978649568
vit-huge-patch14-2020,int4_nf4,ViT-Huge-2020,foundation_transformer,632000000.0,56.54,17.69,615.82,606.22,bitsandbytes_int8_success,0.85,0.95,0.45259992925362574,74.55877978649568
vit-large-patch16-2020,fp32,ViT-Large-2020,foundation_transformer,307000000.0,9.84,101.64,1169.13,1161.01,fp32_baseline,0.85,0.95,1.0,0.0
vit-large-patch16-2020,fp16,ViT-Large-2020,foundation_transformer,307000000.0,7.31,136.82,588.63,580.5,fp16_half_precision,0.85,0.95,1.3461012311901506,49.652305560545024
vit-large-patch16-2020,int8_bitsandbytes,ViT-Large-2020,foundation_transformer,307000000.0,43.56,22.95,301.61,292.5,bitsandbytes_int8_success,0.85,0.95,0.2258953168044077,74.2021845303773
vit-large-patch16-2020,int4_nf4,ViT-Large-2020,foundation_transformer,307000000.0,43.26,23.12,301.61,292.5,bitsandbytes_int8_success,0.85,0.95,0.2274618585298197,74.2021845303773
dinov2-large-2023,fp32,DINOv2-Large-2023,self_supervised_2023,300000000.0,15.27,65.5,1169.2,1161.07,fp32_baseline,0.85,0.95,1.0,0.0
dinov2-large-2023,fp16,DINOv2-Large-2023,self_supervised_2023,300000000.0,7.78,128.51,588.77,580.54,fp16_half_precision,0.85,0.95,1.9627249357326477,49.643345877523096
dinov2-large-2023,int8_bitsandbytes,DINOv2-Large-2023,self_supervised_2023,300000000.0,56.68,17.64,301.67,292.54,bitsandbytes_int8_success,0.85,0.95,0.26940719830628085,74.19859733150872
dinov2-large-2023,int4_nf4,DINOv2-Large-2023,self_supervised_2023,300000000.0,56.73,17.63,301.67,292.54,bitsandbytes_int8_success,0.85,0.95,0.26916975145425703,74.19859733150872
dinov2-base-2023,fp32,DINOv2-Base-2023,self_supervised_2023,86000000.0,5.69,175.87,339.29,330.28,fp32_baseline,0.85,0.95,1.0,0.0
dinov2-base-2023,fp16,DINOv2-Base-2023,self_supervised_2023,86000000.0,4.03,248.08,175.13,165.14,fp16_half_precision,0.85,0.95,1.4119106699751862,48.38338884140411
